G1,G2,studytime,absences,failures,sleep_hours,social_media,Medu,Fedu,famrel,internet,higher,G3
15,16,3,2,0,7,2,3,3,4,1,1,78
10,12,2,5,1,6,3,2,2,3,1,1,60
18,17,4,0,0,8,1,4,4,5,1,1,90
7,8,1,10,2,5,4,1,1,2,0,0,45
12,14,2,3,0,7,2,3,2,4,1,1,70
12,14,2,3,0,7,2,3,2,4,1,1,72
15,16,3,2,0,8,1,4,4,5,1,1,85
10,11,1,6,1,6,3,2,2,3,1,1,60
8,9,1,8,2,5,4,1,1,2,0,0,45
17,18,4,1,0,8,1,4,4,5,1,1,92
13,15,2,3,0,7,2,3,3,4,1,1,75
11,12,2,5,1,6,3,2,2,3,1,1,62
9,10,1,7,2,5,4,1,1,2,0,0,48
16,17,3,2,0,8,1,4,4,5,1,1,88
14,15,3,3,0,7,2,3,3,4,1,1,78
10,12,2,4,1,6,3,2,2,3,1,1,65
7,8,1,9,3,5,4,1,1,2,0,0,40
18,19,4,1,0,9,1,4,4,5,1,1,95
13,14,2,3,0,7,2,3,3,4,1,1,74
12,13,2,4,1,6,3,2,2,3,1,1,68
9,11,1,6,2,5,4,1,1,2,0,0,50
15,17,3,2,0,8,1,4,4,5,1,1,87
14,16,3,3,0,7,2,3,3,4,1,1,80
11,12,2,5,1,6,3,2,2,3,1,1,63
8,9,1,8,2,5,4,1,1,2,0,0,46
16,18,4,1,0,8,1,4,4,5,1,1,90
13,15,2,3,0,7,2,3,3,4,1,1,76
10,11,2,4,1,6,3,2,2,3,1,1,64
7,8,1,9,3,5,4,1,1,2,0,0,42
18,19,4,1,0,9,1,4,4,5,1,1,96
14,15,3,2,0,7,2,3,3,4,1,1,79
12,13,2,4,1,6,3,2,2,3,1,1,67
9,10,1,7,2,5,4,1,1,2,0,0,49
15,17,3,2,0,8,1,4,4,5,1,1,88
13,14,2,3,0,7,2,3,3,4,1,1,75
11,12,2,5,1,6,3,2,2,3,1,1,61
8,9,1,8,2,5,4,1,1,2,0,0,47
17,18,4,1,0,8,1,4,4,5,1,1,91
14,16,3,3,0,7,2,3,3,4,1,1,81
10,11,2,4,1,6,3,2,2,3,1,1,65
7,8,1,9,3,5,4,1,1,2,0,0,41
18,19,4,1,0,9,1,4,4,5,1,1,97
13,15,2,3,0,7,2,3,3,4,1,1,77
12,14,2,4,1,6,3,2,2,3,1,1,69
16,17,3,2,0,8,1,4,4,5,1,1,89
14,15,3,3,0,7,2,3,3,4,1,1,80
12,13,2,4,1,6,3,2,2,3,1,1,66
15,17,3,2,0,8,1,4,4,5,1,1,86
14,16,3,3,0,7,2,3,3,4,1,1,82
16,18,4,1,0,8,1,4,4,5,1,1,91
11,13,2,4,0,7,2,3,2,4,1,1,70
12,13,2,5,1,6,3,2,2,3,1,1,66
17,18,4,1,0,9,1,4,4,5,1,1,93
15,16,3,2,0,8,1,4,4,5,1,1,86
17,18,4,1,0,9,1,4,4,5,1,1,92
12,13,2,4,0,7,2,3,2,4,1,1,71
10,11,2,5,1,6,3,2,2,3,1,1,64
12,14,2,4,0,7,2,3,3,4,1,1,75
17,19,4,1,0,9,1,4,4,5,1,1,94
8,10,1,7,2,5,4,1,1,2,0,0,47
7,9,1,8,3,5,4,1,1,2,0,0,44
11,13,2,5,1,6,3,2,2,3,1,1,63
12,15,2,4,0,7,2,3,3,4,1,1,76
13,16,2,3,0,7,2,3,3,4,1,1,78
14,17,3,3,0,7,2,3,3,4,1,1,83
15,18,3,2,0,8,1,4,4,5,1,1,88
16,19,4,1,0,8,1,4,4,5,1,1,91
17,20,4,1,0,9,1,4,4,5,1,1,95
10,13,2,4,1,6,3,2,2,3,1,1,66
9,12,1,6,2,5,4,1,1,2,0,0,49
8,11,1,7,2,5,4,1,1,2,0,0,46
7,10,1,8,3,5,4,1,1,2,0,0,43
11,14,2,5,1,6,3,2,2,3,1,1,64
12,16,2,4,0,7,2,3,3,4,1,1,77
13,17,2,3,0,7,2,3,3,4,1,1,79
14,18,3,3,0,7,2,3,3,4,1,1,84
15,19,3,2,0,8,1,4,4,5,1,1,89
16,20,4,1,0,8,1,4,4,5,1,1,92
9,10,1,6,2,5,4,1,1,2,0,0,48
8,9,1,7,2,5,4,1,1,2,0,0,45
7,8,1,8,3,5,4,1,1,2,0,0,42
12,13,2,4,0,7,2,3,3,4,1,1,72
6,7,1,8,2,5,4,1,1,2,0,0,42
